iter	RMSE
0	0.8769562774
1	0.8703169257
2	0.8639178157
3	0.8572410013
4	0.8514650093
5	0.8460558382
6	0.8404790138
7	0.8355170596
8	0.8308968069
9	0.8261597368
10	0.8219130024
11	0.8175328314
12	0.8131140858
13	0.8090895872
14	0.8050332123
15	0.8015184535
16	0.7979117527
17	0.7945238884
18	0.7911829384
19	0.7881169583
20	0.7852148351
21	0.7826070364
22	0.7798432559
23	0.7774125438
24	0.7746782788
25	0.7726144062
26	0.7704752883
27	0.7681522737
28	0.7657042222
29	0.7637523191
30	0.7615136137
31	0.7592375237
32	0.757476737
33	0.7556493722
34	0.7538781269
35	0.752281105
36	0.7507054049
37	0.7488533698
38	0.7473298996
39	0.7459488911
40	0.7445685772
41	0.7430423356
42	0.7414092636
43	0.739774351
44	0.7384938501
45	0.7371246	0.746	0.7356947	0.7326566444
48	0.7313943656
49	0.7301551237
50	0.7290540826
51	0.7277913758
52	0.7267144432
53	0.7259196043
54	0.7249585341
55	0.7240303853
56	0.7232119523
57	0.722197515
58	0.7214041538
59	0.720167653
60	0.7192200235
61	0.7186124898
62	0.7178528755
63	0.7169823901
64	0.7160319495
65	0.7150682813
66	0.7140934151
67	0.7132581557
68	0.7122094788
69	0.7114707399
70	0.7105588503
71	0.7098102188
72	0.7090312489
73	0.7083232715
74	0.7077009179
75	0.7070231054
76	0.7065141737
77	0.7057366869
78	0.7052487367
79	0.7045838798
80	0.7038352464
81	0.7028159829
82	0.7023654468
83	0.701846248
84	0.7013092698
85	0.7006825333
86	0.6999417358
87	0.69937812
88	0.6989674752
89	0.6982491722
90	0.6978643942
91	0.6972257761
92	0.6963658885
9393	0.6929153529494	0.6922008479595	0.6915846896	96	0.6907056897	97	0.6901240798	0.6928748628
99	0.6924977729
100	0.6914669277
101	0.6909673081
102	0.6904423181
103	0.6900740459
104	0.6895975551
105	0.6891890024
106	0.6887099175
107	0.6879970733
108	0.6873615331
109	0.6869634587
110	0.6866086212
111	0.6859036924
112	0.6853249963
113	0.6847685243
114	0.6845142518
115	0.6841934926
116	0.6835163045
117	0.6831092174
118	0.6826460503
119	0.6822710299
120	0.6820847452
121	0.6817383936
122	0.6815314193
123	0.680973275
124	0.6805612431
125	0125	0.675456126	0126	0.675206127	0127	0.6745804383
128	0.6742796129	129	0.6737039619
130	0.6735020307
131	0.6732237538
