iter	Passed	Remaining
0	172	120874
1	187	65395
2	214	49878
3	242	42189
4	257	35814
5	275	31881
6	299	29677
7	325	28147
8	341	26239
9	359	24803
10	366	22951
11	380	21808
12	388	20550
13	394	19346
14	408	18657
15	418	17894
16	427	17175
17	434	16452
18	448	16060
19	457	15567
20	471	15249
21	482	14859
22	493	14516
23	510	14383
24	519	14021
25	527	13679
26	541	13499
27	547	13146
28	561	12996
29	573	12818
30	588	12710
31	603	12591
32	610	12337
33	619	12125
34	626	11903
35	635	11726
36	643	11538
37	660	11514
38	675	11441
39	683	11283
40	692	11125
41	706	11066
42	717	10964
43	728	10859
44	741	10800
45	748	10638
46	756	10512
47	785	10669
48	801	10653
49	810	10539
50	822	10464
51	832	10378
52	847	10344
53	859	10280
54	877	10287
55	900	10353
56	912	10289
57	923	10220
58	930	10111
59	941	10046
60	952	9978
61	966	9945
62	980	9915
63	990	9843
64	1002	9798
65	1015	9755
66	1026	9697
67	1037	9640
68	1046	9566
69	1058	9523
70	1068	9467
71	1081	9435
72	1092	9380
73	1105	9352
74	1117	9308
75	1124	9232
76	1139	9215
77	1149	9164
78	1155	9083
79	1165	9033
80	1176	8989
81	1182	883	182	1199	884	183	1208	885	184	1216	886	1220	8596
87	1232	8568
88	1248	8574
89	1264	8569
90	1277	8551
91	1291	8535
92	1302	8499
93	1317	8496
94	1333	8491
95	1345	8463
96	1360	8457
97	1371	8427
98	1385	8408
99	1392	8357
100	140100	140101	1417	8309
102	142102	142103102	103	143104103	104	144105	145105	145106105	1486	83107106	1495	82108107	1511	82109108	1522	82110109	1533	82111110	1545	81111111	1563	82011112	1571	81111113	1582	81111114	1595	811116	1601	7982111116	1620	807118	1625	7937
119	1640	7926
120	1649	7893
121	1660	7868
122	1672	7845
123	1684	7823
124	1696	7803
125	1731	7890
126	1783	8047
127	1815	8112
128	1838	81361129	1861	8160
130	1871	8128
131	1889	8129
132	18132	1891133	19133	1916134	1936	8106
135	1966	8155
136	1992	8186
137	2013	8198
138	2037	8223
139	2056	8226
140	2072	8216
141	2092	8223
142	2110	8222
143	2126	8210
144	2155	8251
145	2169	8232
146	2187	8230
147	2200	8208
148	2206	8160
149	2218	8134
150	2231	8113
151	2239	8074
152	2247	8034
153	2257	8003
154	2269	7980
155	2275	7936
156	2282	7893
157	2296	7877
158	2304	7841
159	2320	7830
160	2327	7791
161	2337	7764
162	2349	7739
163	2359	77101164	2372	7691
165	2384	7670
166	2399	7657
167	2405	7618
168	2418	76001169	2429	75741170	2438	7545171	2446	7510
172	2457	7485
173	2469	7466
174	2479	7437
175	2495	7428
176	2507	7407
177	2526	7410
178	2542	7400
179	2560	7397
180	2570	7371
181	2579	7342
182	2589	7316
183	2596	7280
184	2604	7251
185	2615	7226
186	2622	7195
187	2633	7172
188	2641	7142
189	2650	7114
190	2663	7097
191	2677	7083
192	2697	7086
193	2715	7083
194	2740	7097
195	2749	7068
196	2770	7074
197	2784	7060
198	2805	7063
1199	2819	7049200	2829	7025
201	2844	7011
202	2858	6998
203	2866	6968
204	2878	6950
205	2891	6933
206	2900	6908
2207	2917	69012208	2926	68762209	2943	6867
210	2955	6850
211	2966	6827
212	2984	6824
213	2997	6807
214	3011	6792
215	3018	6764
216	3029	6742
217	3041	6725
218	3051	6701
219	3063	6684
220	3074	6664
221	3093	6660
222	3106	6644
223	3128	6647
224	3136	6620
225	3150	6607
226	3162	6589
227	3174	6571
228	3184	6548
229	3193	6526
230	3206	6509
231	3217	6491
232	3230	6475
233	3245	6463
234	3256	6443
235	3274	6437
236	3293	6433
237	3303	6413
238	3317	6399
239	3338	6398
240	3354	6388
241	3367	6372
24241	3371	63824242	3383	63624243	3396	634245	3414	6301
24245	3424	632247	3446	6282
248	3459	6265
249	3469	6245
250	3484	6232
251	3491	6207
25251	3496	62125252	3519	6218
253	3533	6204
254	3551	6197
255	3560	6175
256	3578	6169
257	3588	6148
258	3597	6126
259	3607	6104
260	3614	6079
261	3624	6060
262	3637	6044
263	3649	6026
264	3657	6004
265	3668	5985
266	3676	5962
267	3686	5942
268	3702	5931
269	3711	5910
270	3719	5888
271	3739	5883
272	3752	5869
273	3766	5856
274	3786	5851
275	3798	58327276	3823	583278	3850	5810
279	3876	5814
280	3894	5807
281	3907	5792
282	3919	5774
283	3932	5760
284	3948	5749
285	3959	5730
286	3972	5716
287	3984	5700
288	3997	5684
289	4010	5669
290	4022	5653
291	4033	5635
292	4045	5619
293	4056	5602
294	4063	5579
295	4075	5561
296	4083	5541
297	4094	5523
298	4105	5506
299	4117	5489
300	4126	5470
301	4136	5451
302	4144	5429
303	4159	5418
304	4170	5400
305	4180	5382
306	4191	53653307	4212	5360
308	4218	53373309	4225	5316310	4233	5295
311	4242	5275
312	4257	5263
3313	4275	5256314313	4289	52315314	4300	52316315	4321	523317	4346	5221331317	4364	52331318	4383	52332319	4401	52232320	4419	5218
321	4432	5203
322	4445	5188
323	4457	5173
324	4469	5156
325	326	446432326	327	4481	5327	328	4500	5075
329	4515	5062
330	4525	5045
331	4544	5036
332	4552	5017
333	4562	4999
334	4569	4978
335	4582	4964
336	4599	4954
337	4611	4939
338	4622	4922
339	4641	4914
340	4651	4896
341	4658	4876
342	4671	4862
343	4684	4848
344	4693	4829
345	4705	4814
346	4722	4803
347	4738	4792
348	4754	4781
349	4764	4764
350	4780	4752
351	4786	4731
352	4807	4725
353	4821	4712
354	4830	4694
355	4846	4683
356	4863	4672
357	4888	4669
358	4897	4651
359	4909	4636
360	4925	4624
361	4933	4606
362	4945	4591
363	4957	4575
364	4968	4559
365	4975	4540
366	4985	4523
367	4996	4508
368	5009	4493
369	5019	4476
370	5027	4458
371	5036	4441
372	5049	4426
373	5066	4416
374	5074	4398
375	5084	4380
376	5093	4364
377	5106	4349
378	5119	4335
379	5129	4319
380	5141	4304
381	5163	4298
382	5175	4283
383	5190	4271
384	5201	4255
385	5213	4240
386	5222	4224
387	5234	4208
388	5241	4190
389	5251	4174
390	5264	4160
391	5271	4141
392	5287	4130
393	5295	4112
394	5306	4097
395	5318	4082
396	5331	4069
397	5341	4053
398	5354	4039
399	5364	4023
400	5371	4005
401	5385	3992
402	5392	3974
403	5404	3959
404	5415	3944
405	5425	3928
406	5436	3913
407	5448	3899
408	5456	3882
409	5462	3863
410	5471	3410	411	5478	3411	412	5490	3412	413	5501	3413	414	5520	3414	415	5527	3415	416	5546	3416	417	5558	3417	418	5571	3418	419	5582	3419	420	5602	3712
421	5610	3421	422	5624	3422	5652	3701
423	424	5653	3424	425	5659	3425	5690	3659
426	5704	3647
427	428	5711	3428	429	5730	3429	430	5749	3430	431	5770	3431	432	5784	3432	433	5795	3433	434	5804	3434	435	5819	3435	436	5835	3436	437	5848	3437	438	5868	3438	439	5884	3439	440	5902	3466
441	5918	3454
442	5932	3441
443	5947	3428
444	5955	3412
445	5967	3398
446	5979	3384
447	5993	3371
448	6003	3356
449	6012	3340
450	6023	3325
451	6032	3309
452	6046	3296
453	6060	3284
454	6072	3454	455	6083	3455	456	6096	3241
457	6115	3457	458	6123	3458	459	6140	3459	460	6156	3460	6184	3206
461	462	6186	3462	463	6195	3463	464	6207	3464	465	6218	3465	466	6231	3466	467	6245	3096
468	6254	3468	469	6274	3070
470	6285	3056
471	6301	3043
472	6321	3033
473	6333	3019
474	6348	3007
475	6367	2996
476	6373	2979
477	6386	2966
478	6395	2950
479	6404	2479	480	6421	2480	481	6429	2481	482	6441	2482	483	6462	2884
484	6482	2873
485	6503	2863
486	6519	2851
487	6526	2835
488	6549	2826
489	6563	2812
490	6578	2800
491	6599	2790
492	6619	2779
493	6642	2770
494	6651	2754
495	6665	2741
496	6686	2731
497	6694	2715
498	6703	2700
499	6717	2686
500	6730	2673
501	6746	2660
502	6752	2644
503	6764	2630
504	6781	2618
505	6805	2609
506	6822	2596
507	6831	2582
508	6839	2566
509	6846	2550
510	6870	2541
511	6878	2525
512	6883	2509
513	6895	2495
514	6906	2514	515	6925	2469
516	6934	2516	517	6951	2442
518	6961	2427
519	6972	2413
520	6982	2520	521	6992	2521	522	7015	2522	523	7029	2523	524	7040	2524	525	7048	2525	526	7062	2526	527	7069	2527	528	7083	2528	529	7088	2529	530	7103	2530	531	7126	2531	532	7138	2532	533	7161	2226
534	7176	2213
535	7184	2198
536	7192	2536	537	7205	2537	538	7222	2538	539	7234	2143
540	7250	2130
541	7263	2117
542	7274	2103
543	7288	2090
544	7302	2076
545	7317	2063
546	7334	2051
547	7340	2036
548	7349549	73549	7366550	73550	7378	1995
551	7388	1981
552	7400	1967
553	7410	1952
554	7424	1939
555	7434	1925
556	7442557	74557	7455558	74558	7465559	74559	7476	1869
560	7489	1855
561	7498	1841
562	7506	1826
563	7521	1813
564	7531	1799
565	7546	1786
566	7562	1773
567	7569	1759
568	7586	1746
569	7599	1733
570	7611	1719
571	7624	1706
572	7638	1693
573	7647	1678
574	7655	1664
575	7662	1649
576	7676	1636
577	7691	1623
578	7702	1609
579	7710	1595
580	7722	1581
581	7744	1570
582	7752	1555
583	7764	1542
584	7788	1531
585	7798	1517
586	7805	1502
587	7817	1489
588	7830	1475
589	7842	1462
590	7850	1447
591	7864	1434
592	7874	1420
593	7882	1406
594	7900	1394
595	7910	1380
596	7928	1367
597	7939	1354
598	7960	1342
599	7972	1328
600	7981	1314
601	7993	1301
602	8006	1288
603	8017	1274
604	8027	1260
605	8033	1246
606	8044	1232
607	8056	1219
608	8069	1205
609	8079	1192
610	8092	1178
611	8108	1165
612	8118	1152
613	8128	1138
614	8140	1125
615	8152	1111
616	8161	1097
617	8169	1083
618	8177	1070
619	8188	1056
620	8207	1044
621	8216	1030
622	8228	1016
623	8236	1003
624	8254	990
625	8265	977
626	8276	963
627	8287	950
628	8297	936
629	8305	922
630	8313	909
631	8322	895
632	8329	881
633	8341	868
634	8350	854
635	8357	840
636	8365	827
637	8373	813
638	8382	800
639	8398	787
640	8417	774
641	8436	762
642	8447	748
643	8465	736
644	8478	722
645	8492	709
646	8502	696
647	8511	683
648	8520	669
649	8532	656
650	8542	643
651	8553	629
652	8562	616
653	8570	602
654	8580	589
655	8590	576
656	8600	562
657	8607	549
658	8614	535
659	8628	522
660	8637	509
661	8648	496
662	8658	483
663	8668	469
664	8678	456
665	8698	444
666	8711	430
667	8716	417
668	8721	404
669	8734	391
670	8766	378
671	8783	365
672	8804	353
673	8825	340
674	8835	327
675	8850	314
676	8866	301
677	8886	288
678	8896	275
679	8905	261
680	8917	248
681	8930	235
682	8943	222
683	8956	209
684	8976	196
685	8986	183
686	8991	170
687	9002	157
688	9024	144
689	9035	130
690	9053	117
691	9692	9070692	9087	91
693	9103	78
694	9118	65
695	9129	52
696	9143	39
697	9149	26
698	9156	13
699	9165	0
9	9119	0
